Geography,Violations,2008,2009,2010,2011,2012
Ontario,"Total, all violations",5456.92,5281.11,5039.35,4759.52,4570.34
Ontario,"Total, all Criminal Code violations (including traffic)",5136.05,4974.25,4719.59,4441.9,4254.66
Ontario,"Total, all Criminal Code violations (excluding traffic)",4872.31,4712.68,4471.39,4194.9,4016.36
Ontario,Total violent Criminal Code violations,1046.13,1006.16,986.53,949.46,901.27
Ontario,Homicide,1.36,1.36,1.43,1.2,1.2
Ontario,Total other violations causing death,0.22,0.34,0.19,0.17,0.16
Ontario,Attempted murder,2.13,2.24,1.87,1.67,1.95
Ontario,"Sexual assault, level 3, aggravated",0.32,0.23,0.36,0.44,0.34
Ontario,"Sexual assault, level 2, weapon or bodily harm",0.86,1.06,1.13,1.2,1.19
Ontario,"Sexual assault, level 1",55.99,53.39,57.05,57,57.55
Ontario,Total sexual violations against children,2.67,4.25,5.84,6.32,6.77
Ontario,"Assault, level 3, aggravated",10.08,9.21,8.42,8.04,7.98
Ontario,"Assault, level 2, weapon or bodily harm",114.92,110.31,107.36,101.6,97.6
Ontario,"Assault, level 1",411.75,392.16,384.85,377.05,356.79
Ontario,"Total Assaults (Level 1, 2 and 3)",536.75,511.68,500.63,486.69,462.37
Ontario,Total assaults against a peace officer,21.99,23.81,26.9,24.91,20.66
Ontario,Total other assaults,17.24,16.72,16.13,14.33,13.73
Ontario,"Total firearms; use of, discharge, pointing",3.43,4.15,4.27,3.7,3.69
Ontario,Total robbery,92.35,93.22,87.6,86.18,79.49
Ontario,Total forcible confinement or kidnapping,14.34,13.7,11,8.01,8.23
Ontario,Total abduction,0.8,0.8,0.75,0.55,0.71
Ontario,Extortion,3.71,4.67,4.05,3.36,3.42
Ontario,Criminal harassment,67.36,70.59,72.79,72.32,71.75
Ontario,Uttering threats,153.04,145.47,138.52,129.36,122.36
Ontario,Threatening or harassing phone calls,63.93,52.07,47.59,38.98,34.67
Ontario,Total other violent violations,7.64,6.42,8.45,13.07,11.02
Ontario,Total property crime violations,3245.56,3175.88,2947.59,2738.34,2622.31
Ontario,Total breaking and entering,449.47,434.74,414.62,378.86,361.73
Ontario,Total possession of stolen property,101.47,102.11,99.77,67.83,41.63
Ontario,Total trafficking in stolen property,0,0,0,0.29,0.56
Ontario,Total theft of motor vehicle,237.84,208.34,171.27,155.35,141.03
Ontario,"Total theft over $5,000 (non-motor vehicle)",39.55,36.62,34.86,34.75,33.96
Ontario,"Total theft under $5,000 (non-motor vehicle)",1423.62,1442.94,1364.19,1308.58,1277.2
Ontario,Fraud,279.88,268.32,249.74,234.97,229.22
Ontario,Identity theft,0,0,1.86,3.71,3.61
Ontario,Identity fraud,0,0,7.72,14.65,18.21
Ontario,Total mischief,693.56,661.03,585.75,524.45,498.89
Ontario,Arson,20.17,21.78,17.79,14.86,16.2
Ontario,"Altering, removing or destroying Vehicle Identification Number (VIN)",0,0,0,0.04,0.07
Ontario,Total other Criminal Code violations,580.62,530.64,537.27,507.1,492.78
Ontario,Counterfeiting,3.38,1.48,1.56,1.28,0.9
Ontario,Total weapons violations,36.54,33.47,32.49,29.42,29.13
Ontario,Child pornography,3.02,2.91,4.31,6.73,6.35
Ontario,Total prostitution,8.27,9.41,7.37,4.29,3.81
Ontario,Disturb the peace,57.48,51.76,56.58,51.54,49.37
Ontario,Total administration of justice violations,408.1,371.04,376.25,358.2,346.63
Ontario,Total other violations,63.85,60.58,58.71,55.63,56.59
Ontario,Total Criminal Code traffic violations,263.74,261.57,248.2,246.99,238.3
Ontario,Total impaired driving,145,139.32,130.59,128.91,127.12
Ontario,"Impaired operation, causing death",0.27,0.2,0.2,0.16,0.16
Ontario,"Impaired operation (drugs), causing death",0,0,0.02,0.01,0.01
Ontario,"Impaired operation, causing bodily harm",0.99,0.84,0.68,0.74,0.66
Ontario,"Impaired operation (drugs), causing bodily harm",0.02,0.01,0.02,0.01,0.02
Ontario,"Impaired operation of motor vehicle, vessel or aircraft",135.12,127.5,118.62,117.53,116.52
Ontario,"Impaired operation (drugs) vehicle, vessel, aircraft",0.65,2.48,2.62,2.41,2.22
Ontario,"Impaired operation, failure to provide breath sample",7.72,8.1,8.24,7.93,7.39
Ontario,Failure to comply or refusal (drugs),0.02,0.05,0.05,0.02,0.06
Ontario,"Impaired operation, failure to provide blood sample",0.22,0.13,0.14,0.07,0.04
Ontario,Failure to provide blood sample (drugs),0,0.02,0.02,0.01,0.04
Ontario,Total other Criminal Code traffic violations,118.74,122.25,117.61,118.09,111.18
Ontario,"Dangerous operation, causing death",0.2,0.22,0.18,0.16,0.08
Ontario,"Dangerous operation, causing bodily harm",1.21,1.07,1.1,0.85,0.98
Ontario,"Dangerous operation of motor vehicle, vessel or aircraft",20.66,18.78,17.82,16.83,17
Ontario,"Dangerous operation evading police, causing death",0.01,0.01,0,0,0
Ontario,"Dangerous operation evading police, causing bodily harm",0.05,0.07,0.06,0.04,0.05
Ontario,Dangerous operation of motor vehicle evading police,4.69,3.2,3.15,2.77,3.01
Ontario,Total fail to stop or remain,78.95,84.38,79.51,81.74,76.39
Ontario,Driving while prohibited,11.81,13.33,14.23,14.49,12.34
Ontario,Other Criminal Code traffic violations,1.03,0.99,1.26,0.94,1.04
Ontario,Causing death by criminal negligence while street racing,0.01,0,0.02,0,0
Ontario,Causing bodily harm by criminal negligence while street racing,0,0,0,0.01,0
Ontario,Dangerous operation causing death while street racing,0,0,0.01,0,0.01
Ontario,Dangerous operation causing bodily harm while street racing,0.02,0.02,0.02,0,0.01
Ontario,Dangerous operation of motor vehicle while street racing,0.11,0.2,0.24,0.26,0.27
Ontario,Total Federal Statute violations,320.87,306.86,319.76,317.63,315.68
Ontario,Total drug violations,245.15,233.61,246.66,252.96,243.58
Ontario,"Possession, cannabis",122.46,119.47,130.8,142.7,135.04
Ontario,"Possession, cocaine",26.65,17.66,17.11,17.5,17.73
Ontario,"Total, possession, other Controlled Drugs and Substances Act drugs",20.06,20.22,23.12,23.45,24.34
Ontario,"Heroin, possession",0.59,0.57,0.86,0.93,1.54
Ontario,"Other Controlled Drugs and Substances Act, possession",19.15,18.52,20.39,20.24,20.01
Ontario,"Methamphetamines (crystal meth), possession",0.16,0.64,1.27,1.68,2.3
Ontario,"Methylenedioxyamphetamine (ecstasy), possession",0.15,0.5,0.6,0.59,0.5
Ontario,"Total cannabis, trafficking, production or distribution",31.67,32.93,34.54,30.33,28.76
Ontario,"Cannabis, trafficking",21.01,22.02,23.14,21.98,19.14
Ontario,"Cannabis, importation and exportation",5.17,5.19,3.66,2.15,2.4
Ontario,"Cannabis, production",5.49,5.72,7.74,6.2,7.22
Ontario,"Total cocaine, trafficking, production or distribution",28.1,24,21.29,19.91,19.84
Ontario,"Cocaine, trafficking",26.82,22.3,19.99,18.5,18.4
Ontario,"Cocaine, importation and exportation",1.22,1.66,1.28,1.38,1.42
Ontario,"Cocaine, production",0.05,0.04,0.02,0.02,0.02
Ontario,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",16.21,19.33,19.8,19.04,17.79
Ontario,"Heroin, trafficking",0.69,0.83,1.28,1.05,1.9
Ontario,"Other Controlled Drugs and Substances Act, trafficking",10.89,12.5,12.53,12.31,10.1
Ontario,"Methamphetamines (crystal meth), trafficking",0.1,0.3,0.54,0.7,0.89
Ontario,"Methylenedioxyamphetamine (ecstasy), trafficking",0.09,0.31,0.35,0.22,0.14
Ontario,"Heroin, importation and exportation",0.27,0.27,0.48,0.45,0.42
Ontario,"Other Controlled Drugs and Substances Act, importation and exportation",4.04,4.42,3.77,3.43,3.61
Ontario,"Methamphetamines (crystal meth), importation and exportation",0,0.01,0.01,0.01,0.01
Ontario,"Methylenedioxyamphetamine (ecstasy), importation and exportation",0,0.03,0.04,0.06,0.04
Ontario,"Heroin, production",0,0.01,0,0,0
Ontario,"Other Controlled Drugs and Substances Act, production",0.14,0.61,0.75,0.74,0.59
Ontario,"Methamphetamines (crystal meth), production",0.01,0.05,0.03,0.04,0.08
Ontario,"Methylenedioxyamphetamine (ecstasy), production",0,0,0.02,0.01,0.01
Ontario,"Precursor or equipment (crystal meth, ecstasy)",0,0,0,0.03,0.07
Ontario,Youth Criminal Justice Act,32.96,37.5,33.93,29.08,29.76
Ontario,Total other Federal Statutes,42.76,35.75,39.17,35.59,42.34
Ontario,Bankruptcy Act,0.15,0.11,0.1,0.24,0.3
Ontario,Income Tax Act,0.12,0.08,0.09,0.06,0.04
Ontario,Canada Shipping Act,8.59,9.06,9.85,9.42,6.91
Ontario,Canada Health Act,0.02,0.04,0.02,0.01,0.04
Ontario,Customs Act,0.5,0.49,0.48,0.72,0.79
Ontario,Competition Act,0,0,0,0,0
Ontario,Excise Act,6.46,6.78,5.85,3.28,3.13
Ontario,Total Immigration and Refugee Protection Act,6.66,1.42,0.82,2.52,3.48
Ontario,Firearms Act,0.9,1.38,2.79,1.48,0.98
Ontario,National Defense Act,0.02,0.01,0,0.01,0
Ontario,Other federal statutes,19.34,16.39,19.18,17.84,26.67
